ts,symbol,rec_type,llm_action,llm_urgency,llm_conf,spot_parsed,old_strike,new_strike,old_exp,new_exp,new_dte,new_delta,close_px,open_px,net_cash_sh,status,board_reason,D_ACTION,D_PROMO,D_SAMEEXP,D_NETDEBIT,n_legs,actions,llm_summary,llm_warnings,spot_at_eval,rth_high,delta_dollars,strike_breached_intraday,b4_close_without_recover,old_leap_px,has_new_leap,sold_leap,closed_short,b4_subtype
2026-05-14T12:35:51+00:00,BULL,roll_short,HOLD,routine,88,,7.0,7.0,2026-05-15,2026-05-22,8,0.566,0.2,0.45,0.25,board_rejected,approval timeout,1,0,0,0,2,"roll_short_call_close,roll_short_call_open","confidence] Rule 4 (Terminal-DTE Override) governs: with 1 DTE and spot only +1.1% above the $7.00 strike, the position is squarely in the ATM zone (±1.5% threshold). The short carries $0.12/sh extrinsic that decays to zero by tomorrow's close; closing now costs $0.20/sh mark vs. an expected expiry value of ~$0.08/sh (intrinsic only if stock is unchanged), so waiting saves approximately $0.12/sh (","Rule 4 (Terminal-DTE Override) governs: with 1 DTE and spot only +1.1% above the $7.00 strike, the position is squarely in the ATM zone (±1.5% threshold). The short carries $0.12/sh extrinsic that decays to zero by tomorrow's close; closing now costs $0.20/sh mark vs. an expected expiry value of ~$0",,,,,0,,0,0,1,
2026-05-14T12:35:52+00:00,CIFR,roll_short,HOLD,routine,92,21.24,22.5,22.0,2026-05-15,2026-05-22,8,0.454,0.32,1.13,0.81,board_rejected,approval window expired — boot recovery (wait cancelled by r,1,0,0,0,2,"roll_short_call_close,roll_short_call_open","confidence] With 1 DTE and spot at $21.24 vs. strike $22.50, the underlying is 5.6% below the short strike — well outside the ±1.5% ATM zone that would trigger concern. The short call is 100% extrinsic ($0.32/sh) and will decay to zero by tomorrow's expiration if spot stays below $22.50. The roll-vs-wait breakeven requires spot to reach $22.82 (+7.44%) by expiry, which is implausible in one sessio","With 1 DTE and spot at $21.24 vs. strike $22.50, the underlying is 5.6% below the short strike — well outside the ±1.5% ATM zone that would trigger concern. The short call is 100% extrinsic ($0.32/sh) and will decay to zero by tomorrow's expiration if spot stays below $22.50. The roll-vs-wait breake",21.24,22.52,1.28,1,0,,0,0,1,
2026-05-15T12:32:19+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,,78.0,89.0,2026-05-22,2026-05-22,7,0.368,8.05,3.18,-4.87,board_rejected,approval timeout,0,0,1,1,4,"roll_leap_close_short,roll_leap_close,roll_leap_open,roll_leap_open_short","confidence] Two hard rules fire simultaneously: (1) LEAP DTE is 34, far below the 120-DTE roll-out threshold — the long leg is approaching expiration and must be extended immediately to preserve the synthetic stock structure; (2) LEAP delta is 1.00, exceeding the 0.95 hard-rule ceiling that mandates treating it as deep-ITM equity and rolling deep. The short call is also deeply breached at 6.4% ITM",,,,,,0,0.0,1,1,1,
2026-05-18T12:33:59+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,83.67,78.0,,2026-05-22,,,,8.25,,,board_rejected,orphan backfill 2026-07-08 (cause=resume_write_failed_or_reg,0,0,0,0,2,"roll_leap_close_short,roll_leap_close","confidence] Two hard rules fire simultaneously: (1) LEAP delta of 0.96 exceeds the 0.95 threshold — the LEAP has become a deep-ITM equity surrogate with virtually no optionality, requiring a roll to restore delta to the 0.55-0.80 acceptable range; (2) LEAP DTE of 31 is well below the 120-DTE roll-out trigger. The deterministic guard `_promote_to_roll_leap_if_hard_rule` mandates promotion to roll_l","Two hard rules fire simultaneously: (1) LEAP delta of 0.96 exceeds the 0.95 threshold — the LEAP has become a deep-ITM equity surrogate with virtually no optionality, requiring a roll to restore delta to the 0.55-0.80 acceptable range; (2) LEAP DTE of 31 is well below the 120-DTE roll-out trigger. T",,,,,1,0.0,0,1,1,fully_naked
2026-05-19T12:32:54+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,86.83,78.0,93.0,2026-05-22,2026-05-22,3,0.35,10.35,2.79,-7.56,board_rejected,approval timeout,0,0,1,1,4,"roll_leap_close,roll_leap_close_short,roll_leap_open,roll_leap_open_short","confidence] Two independent hard rules both mandate a LEAP roll immediately. First, LEAP delta of 0.97 exceeds the 0.95 threshold where the rule treats it as deep ITM equity and requires closing or rolling deep (Rule 5). Second, LEAP DTE of 30 is far below the 120 DTE roll-out trigger (Rule 6). The deterministic guard `_promote_to_roll_leap_if_hard_rule` will promote any roll_short to roll_leap re",,,,,,0,0.0,1,1,1,
2026-05-20T12:33:21+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,,78.0,,2026-05-22,,,,10.95,,,board_rejected,approval timeout,0,0,0,0,2,"roll_leap_close_short,roll_leap_close","confidence] Two independent hard rules both mandate a LEAP roll: (1) LEAP delta of 0.98 exceeds the 0.95 threshold triggering the deep-ITM equity treatment, and (2) LEAP DTE of 29 is far below the 120-DTE roll-out rule. The deterministic guard `_promote_to_roll_leap_if_hard_rule` will promote any roll_short recommendation to roll_leap regardless, so the correct action is roll_leap directly. The sh",,,,,,1,0.0,0,1,1,fully_naked
2026-05-21T12:36:33+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,89.58,85.0,,2026-05-29,,,,8.3,,,board_rejected,approval window expired — boot recovery (wait cancelled by r,0,0,0,0,2,"roll_leap_close_short,roll_leap_close","confidence] Two independent hard rules simultaneously require LEAP intervention: (1) LEAP delta of 0.97 exceeds the 0.95 ceiling, meaning the LEAP is behaving as deep-ITM equity with minimal optionality and must be rolled deeper/further out; (2) LEAP DTE of 28 is critically below the 120-DTE roll threshold, creating imminent expiration risk that would collapse the synthetic stock structure. The sh",,,,,,1,0.0,0,1,1,fully_naked
2026-05-21T13:10:08+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,89.58,85.0,,2026-05-29,,,,8.3,,,board_approved,via web,0,0,0,0,2,"roll_leap_close,roll_leap_close_short","confidence] Two independent hard rules simultaneously require LEAP intervention: (1) LEAP delta of 0.97 exceeds the 0.95 ceiling, meaning it behaves as deep-ITM equity with minimal optionality and must be rolled or closed per Rule 5; (2) LEAP DTE of 28 is critically below the 120-DTE roll-out threshold in Rule 6, creating imminent expiration risk on the synthetic stock replacement. The short call ",,,,,,1,0.0,0,1,1,fully_naked
2026-05-22T12:32:47+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,96.23,85.0,105.0,2026-05-29,2026-05-29,7,0.309,12.75,2.66,-10.09,board_rejected,orphan backfill 2026-07-08 (cause=resume_write_failed_or_reg,0,0,1,1,3,"roll_leap_close_short,roll_leap_close,roll_leap_open_short","confidence] The LEAP (ASTS Jun-2026 C40) has collapsed to 0.00 delta with only 27 DTE remaining, meaning it provides zero synthetic long exposure and will expire nearly worthless despite the underlying trading at $96.23 — far above the $40 strike. The HARD RULE and LEAP MANAGEMENT rule both mandate rolling at <120 DTE, and the deterministic guard (_promote_to_roll_leap_if_hard_rule) will promote a",,,,,,0,0.0,0,1,1,
2026-05-25T12:36:23+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,105.86,85.0,112.0,2026-05-29,2026-05-29,4,0.365,21.08,3.35,-17.73,risk_rejected,orphan backfill 2026-07-08 (cause=resume_write_failed_or_reg,0,0,1,1,4,"roll_leap_close_short,roll_leap_close,roll_leap_open,roll_leap_open_short","confidence] Rule 6 mandates rolling the LEAP at 120 DTE; at 24 DTE this LEAP is critically near expiration and must be rolled immediately to a new long-dated contract (target June 2027 or Jan 2027, ~360-450 DTE) at a delta of 0.70-0.80 to restore the synthetic-stock foundation. Rule 5 hard-rule also fires: LEAP delta of 0.99 ≥ 0.95, which independently triggers roll_leap promotion per the determin","Rule 6 mandates rolling the LEAP at 120 DTE; at 24 DTE this LEAP is critically near expiration and must be rolled immediately to a new long-dated contract (target June 2027 or Jan 2027, ~360-450 DTE) at a delta of 0.70-0.80 to restore the synthetic-stock foundation. Rule 5 hard-rule also fires: LEAP",,,,,0,0.0,1,1,1,
2026-05-26T12:36:18+00:00,CIFR,roll_leap,ROLL_LEAP,elevated,95,21.97,21.0,,2026-05-29,,,,1.67,,,board_rejected,approval timeout,0,0,0,0,1,roll_leap_close_short,"confidence] The LEAP delta of 0.95 triggers the Hard Rule: 'If LEAP delta > 0.95, treat as deep ITM equity — close or roll deep.' The deterministic backstop (_promote_to_roll_leap_if_hard_rule) will also enforce this promotion regardless of LLM judgment. Separately, the short call is in a Major Breach scenario: spot $21.97 is 4.6% above the $21.00 strike (3-8% band), which would normally call for ","The LEAP delta of 0.95 triggers the Hard Rule: 'If LEAP delta > 0.95, treat as deep ITM equity — close or roll deep.' The deterministic backstop (_promote_to_roll_leap_if_hard_rule) will also enforce this promotion regardless of LLM judgment. Separately, the short call is in a Major Breach scenario:",21.97,24.65,2.68,1,1,,0,0,1,uncovered
2026-05-27T12:36:50+00:00,STRC,cover_leap,,,,,,100.0,,2026-06-18,22,0.094,,0.01,,board_rejected,via web,0,0,0,0,1,open_short_call,,,,,,,,,0,0,0,
2026-05-27T12:36:50+00:00,RIOT,roll_short,ROLL_SHORT,elevated,82,,24.5,,2026-05-29,,,,1.95,,,board_rejected,orphan backfill 2026-07-08 (cause=resume_write_failed_or_reg,0,0,0,0,1,roll_short_call_close,"confidence] The short $24.50 strike is breached by 6.4% ($1.58 intrinsic), firmly in Major Breach territory (3-8% rule), which prescribes a 21-DTE roll up-and-out at delta 0.30-0.40 for a MUST-CREDIT roll. The terminal-DTE override (Rule 4) defaults to HOLD when spot is within ±1.5% of strike, but the override condition (a) explicitly fires here because the underlying is 6.4% above strike — well b","The short $24.50 strike is breached by 6.4% ($1.58 intrinsic), firmly in Major Breach territory (3-8% rule), which prescribes a 21-DTE roll up-and-out at delta 0.30-0.40 for a MUST-CREDIT roll. The terminal-DTE override (Rule 4) defaults to HOLD when spot is within ±1.5% of strike, but the override ",,,,,1,,0,0,1,uncovered
2026-05-28T12:33:51+00:00,BLSH,roll_short,ROLL_SHORT,routine,97,34.32,39.5,,2026-05-29,,,,0.01,,,board_rejected,approval timeout,0,0,0,0,1,roll_short_call_close,"confidence] The short leg has 1 DTE and a mark of $0.01/sh with zero intrinsic value, meaning essentially all premium has decayed. The Terminal-DTE override (Rule 4) defaults to HOLD when the underlying is within ±1.5% of strike, but spot at $34.32 is approximately 13.1% BELOW the $39.50 strike — the underlying is deeply OTM relative to the short, not in the ATM zone, so the hold-default does not ","The short leg has 1 DTE and a mark of $0.01/sh with zero intrinsic value, meaning essentially all premium has decayed. The Terminal-DTE override (Rule 4) defaults to HOLD when the underlying is within ±1.5% of strike, but spot at $34.32 is approximately 13.1% BELOW the $39.50 strike — the underlying",,,,,1,,0,0,1,uncovered
2026-05-28T12:33:54+00:00,BULL,roll_short,ROLL_SHORT,routine,95,6.22,8.0,6.5,2026-05-29,2026-06-05,8,0.361,0.01,0.16,0.15,board_rejected,approval timeout,0,0,0,0,2,"roll_short_call_close,roll_short_call_open","confidence] With 1 DTE and the short mark at $0.01/sh (essentially zero extrinsic remaining), the Terminal-DTE theta window analysis confirms the short has fully decayed — there is no meaningful theta left to collect by waiting. The stock at $6.22 is 22% below the $8.00 strike, so there is zero assignment risk and no breach concern. The roll trigger fires on ≤2 DTE per Rule 1. In an uptrend regime","With 1 DTE and the short mark at $0.01/sh (essentially zero extrinsic remaining), the Terminal-DTE theta window analysis confirms the short has fully decayed — there is no meaningful theta left to collect by waiting. The stock at $6.22 is 22% below the $8.00 strike, so there is zero assignment risk ",,,,,0,,0,0,1,
2026-05-28T12:33:56+00:00,OPEN,cover_leap,OPEN_SHORT,elevated,92,4.75,,7.5,,2026-06-05,8,0.027,,0.01,,board_rejected,approval timeout,0,0,0,0,1,open_short_call,"confidence] The position is fully uncovered — no short call is currently sold against the 2027-01-15 C3.00 LEAP, meaning zero theta income is being generated and the PMCC structure is incomplete. Market regime is uptrend, so the aggressive delta band of 0.30–0.45 applies for the short leg. LEAP delta is 0.84, well within the acceptable 0.55–0.80 range on the upper end (no roll-down needed, and the",,,,,,,,0,0,0,
2026-05-28T12:33:56+00:00,RIOT,roll_short,ROLL_SHORT,elevated,82,,24.5,28.0,2026-05-29,2026-06-05,8,0.416,2.61,1.01,-1.6,board_rejected,approval window expired — boot recovery (wait cancelled by r,0,0,0,1,2,"roll_short_call_close,roll_short_call_open","confidence] At 1 DTE the terminal-DTE hold rule normally favors waiting, but the roll-vs-wait breakeven is $27.11 (+0.63% from $26.94) — stock is already above that breakeven and trending up in an uptrend regime, meaning expiry assignment is the base case, not the exception. The short is $2.44 intrinsic vs. $0.17 extrinsic; the $85 theta savings is negligible relative to the $1,220 intrinsic expos","At 1 DTE the terminal-DTE hold rule normally favors waiting, but the roll-vs-wait breakeven is $27.11 (+0.63% from $26.94) — stock is already above that breakeven and trending up in an uptrend regime, meaning expiry assignment is the base case, not the exception. The short is $2.44 intrinsic vs. $0.",,,,,0,,0,0,1,
2026-05-29T12:33:56+00:00,STRC,cover_leap,,,,,,95.0,,2026-06-18,20,0.801,,4.25,,board_rejected,orphan backfill 2026-07-08 (cause=resume_write_failed_or_reg,0,0,0,0,1,open_short_call,,,,,,,,,0,0,0,
2026-06-01T12:32:58+00:00,STRC,cover_leap,,,,,,100.0,,2026-06-18,17,0.048,,0.01,,board_rejected,approval timeout,0,0,0,0,1,open_short_call,,,,,,,,,0,0,0,
2026-06-01T12:32:58+00:00,TSLA,roll_short,ROLL_SHORT,elevated,82,,422.5,430.0,2026-06-03,2026-06-05,4,0.607,15.78,12.43,-3.35,risk_rejected,approval timeout,0,0,0,1,2,"roll_short_call_close,roll_short_call_open","confidence] At exactly 2 DTE, the TERMINAL-DTE OVERRIDE rule applies, but the underlying is 3.1% above the short strike — this clears the override exception (a) 'underlying is more than 1.5% above strike (genuine breach)', so HOLD is not the correct action. The breach magnitude of 3.1% sits at the boundary of Minor/Major (>3% threshold for halfway roll), but given the ITM mark of $15.78 vs. origin","At exactly 2 DTE, the TERMINAL-DTE OVERRIDE rule applies, but the underlying is 3.1% above the short strike — this clears the override exception (a) 'underlying is more than 1.5% above strike (genuine breach)', so HOLD is not the correct action. The breach magnitude of 3.1% sits at the boundary of M",,,,,0,,0,0,1,
2026-06-01T12:33:07+00:00,CIFR,roll_leap,ROLL_LEAP,elevated,82,,23.0,,2026-06-05,,,,1.67,,,cancelled,orphan backfill 2026-07-08 (cause=resume_write_failed_approv,0,0,0,0,1,roll_leap_close_short,"confidence] The short $23 call is 2.8% ITM (minor breach territory: 0-3% above strike) with 4 DTE and zero profit captured — the 50% profit trigger has not fired but the breach policy takes precedence. Under the Minor Breach rule, roll up-and-out to 7 DTE targeting delta 0.25-0.35 (breach rule) which overlaps with the uptrend aggressive range of 0.30-0.45; use delta ~0.30-0.35 as the intersection.","The short $23 call is 2.8% ITM (minor breach territory: 0-3% above strike) with 4 DTE and zero profit captured — the 50% profit trigger has not fired but the breach policy takes precedence. Under the Minor Breach rule, roll up-and-out to 7 DTE targeting delta 0.25-0.35 (breach rule) which overlaps w",23.65,24.86,1.21,1,1,,0,0,1,uncovered
2026-06-02T12:32:58+00:00,STRC,cover_leap,,,,,,100.0,,2026-06-18,16,0.028,,0.01,,board_rejected,approval timeout,0,0,0,0,1,open_short_call,,,,,,,,,0,0,0,
